page_group,url_pattern,full_url,pixel_event_primary,pixel_event_secondary,recommended_params,implementation_notes
"public","/","https://www.contractorleads.us","PageView","","path,url",""
"public","/about","https://www.contractorleads.us/about","PageView","","path,url",""
"app","/academy","https://www.contractorleads.us/academy","PageView","","path,url",""
"app","/academy/[slug]","https://www.contractorleads.us/academy/[slug]","PageView","","path,url",""
"admin","/admin","https://www.contractorleads.us/admin","PageView","","path,url",""
"admin","/admin/activity","https://www.contractorleads.us/admin/activity","PageView","","path,url",""
"admin","/admin/communications","https://www.contractorleads.us/admin/communications","PageView","","path,url",""
"admin","/admin/copy-leads","https://www.contractorleads.us/admin/copy-leads","PageView","","path,url",""
"admin","/admin/coupons","https://www.contractorleads.us/admin/coupons","PageView","","path,url",""
"admin","/admin/customers","https://www.contractorleads.us/admin/customers","PageView","","path,url",""
"admin","/admin/customers/[id]","https://www.contractorleads.us/admin/customers/[id]","PageView","","path,url",""
"admin","/admin/email-preview","https://www.contractorleads.us/admin/email-preview","PageView","","path,url",""
"admin","/admin/exports","https://www.contractorleads.us/admin/exports","PageView","","path,url",""
"admin","/admin/health","https://www.contractorleads.us/admin/health","PageView","","path,url",""
"admin","/admin/leads","https://www.contractorleads.us/admin/leads","PageView","","path,url",""
"admin","/admin/leads/[id]","https://www.contractorleads.us/admin/leads/[id]","PageView","","path,url",""
"admin","/admin/leads/[id]/qualification/[scoreKey]","https://www.contractorleads.us/admin/leads/[id]/qualification/[scoreKey]","PageView","","path,url",""
"admin","/admin/login","https://www.contractorleads.us/admin/login","PageView","","path,url",""
"admin","/admin/plans","https://www.contractorleads.us/admin/plans","PageView","","path,url",""
"admin","/admin/platform","https://www.contractorleads.us/admin/platform","PageView","","path,url",""
"admin","/admin/referrals","https://www.contractorleads.us/admin/referrals","PageView","","path,url",""
"admin","/admin/revenue","https://www.contractorleads.us/admin/revenue","PageView","","path,url",""
"admin","/admin/saved-leads","https://www.contractorleads.us/admin/saved-leads","PageView","","path,url",""
"admin","/admin/scrape","https://www.contractorleads.us/admin/scrape","PageView","","path,url",""
"admin","/admin/searches","https://www.contractorleads.us/admin/searches","PageView","","path,url",""
"admin","/admin/site-leads","https://www.contractorleads.us/admin/site-leads","PageView","","path,url",""
"admin","/admin/sms","https://www.contractorleads.us/admin/sms","PageView","","path,url",""
"admin","/admin/system","https://www.contractorleads.us/admin/system","PageView","","path,url",""
"admin","/admin/team","https://www.contractorleads.us/admin/team","PageView","","path,url",""
"app","/ai-tools","https://www.contractorleads.us/ai-tools","PageView","","path,url",""
"app","/analytics","https://www.contractorleads.us/analytics","PageView","","path,url",""
"app","/ask-expert","https://www.contractorleads.us/ask-expert","PageView","","path,url",""
"auth","/auth/splash","https://www.contractorleads.us/auth/splash","PageView","","path,url",""
"app","/billing","https://www.contractorleads.us/billing","PageView","AddPaymentInfo","path,url","Use StartTrial on checkout click and Purchase from Stripe webhook confirmation"
"public","/blog","https://www.contractorleads.us/blog","PageView","ViewContent","path,url",""
"public","/blog/[slug]","https://www.contractorleads.us/blog/[slug]","PageView","ViewContent","path,url",""
"app","/crm-webhooks","https://www.contractorleads.us/crm-webhooks","PageView","","path,url",""
"app","/dashboard","https://www.contractorleads.us/dashboard","PageView","","path,url",""
